
Quwwat-ul-Islam Mosque,3.8, 16 kms  from city center ,site-seeing,134,delhi,https://www.holidify.com/images/cmsuploads/square/Quwwat-ul-Islam_Mosque
Sulabh International Museum of Toilets,3.8, 15 kms  from city center ,site-seeing,135,delhi,https://www.holidify.com/images/cmsuploads/square/Sulabh_20181008121604.jpg
Nicholson Cemetery,3.8, 1 kms  from city center ,site-seeing,136,delhi,https://www.holidify.com/images/cmsuploads/square/800px-Lothian_Cemetery_in_Delhi_04_20180518230259.jpg
Iron Pillar,3.6, 16 kms  from city center ,site-seeing,137,delhi,https://www.holidify.com/images/cmsuploads/square/Iron_pillar_of_Delhi_20180518230748.jpg
Nehru Memorial Museum and Library,3.6, 7 kms  from city center ,site-seeing,138,delhi,https://www.holidify.com/images/cmsuploads/square/800px-Nehru_Planetarium_Section_20180518230905.jpg
Chhatarpur Mandir,3.6, 19 kms  from city center ,site-seeing,139,delhi,https://www.holidify.com/images/cmsuploads/square/Chattarpur_Mandir
Crafts Museum,3.6, 6 kms  from city center ,site-seeing,140,delhi,https://www.holidify.com/images/cmsuploads/square/800px-Exhibit_in_Craft_Museum_New_Delhi-30_20180518231020.JPG
Hijron Ka Khanqah,3.6, 17 kms  from city center ,site-seeing,141,delhi,https://www.holidify.com/images/cmsuploads/square/800px-Hijron_ka_Khanqah_20180519103606.jpg
Sri Digambar Jain Lal Mandir ,3.6, 2 kms  from city center ,site-seeing,142,delhi,https://www.holidify.com/images/cmsuploads/square/800px-Digambar_Jain_Lal_Mandir
Fatehpuri Masjid,3.6, 1 kms  from city center ,site-seeing,143,delhi,https://www.holidify.com/images/cmsuploads/square/800px-Fatehpuri_Masjid_20180519103654.jpg
Jhandewalan Hanuman Temple,3.6, 4 kms  from city center ,site-seeing,144,delhi,https://www.holidify.com/images/cmsuploads/square/14286304765_2d33bd7f10_z_20190327162252_20190327162309.jpg
Sanskriti Museums,3.6, 22 kms  from city center ,site-seeing,145,delhi,https://www.holidify.com/images/cmsuploads/square/800px-Sanskriti_Museum_20180519103740.JPG
Charkha Museum,3.5, 4 kms  from city center ,site-seeing,146,delhi,https://www.holidify.com/images/cmsuploads/square/slider5_20180521173625.jpg
Isa Khan's Tomb,3.5, 9 kms  from city center ,site-seeing,147,delhi,https://www.holidify.com/images/cmsuploads/square/1280px-Isa_Khan_Niyazi's_tomb_in_Delhi_2_20180521173047.jpg
Rashtrapati Bhavan Museum,3.5, 6 kms  from city center ,site-seeing,148,delhi,https://www.holidify.com/images/cmsuploads/square/19662160034_000a7a9658_z_20190327162709_20190327162730.jpg
Museo Camera,3.5, 22 kms  from city center ,site-seeing,149,delhi,https://www.holidify.com/images/cmsuploads/square/museocamera_20180519103919.jpg
Siri Fort,3.5, 13 kms  from city center ,site-seeing,150,delhi,https://www.holidify.com/images/cmsuploads/square/Ruins_of_Siri_Fort_wall
Shankar's International Dolls Museum,3.5, 5 kms  from city center ,site-seeing,151,delhi,https://www.holidify.com/images/cmsuploads/square/DollMuseum_20181009164512.jpg
Gurudwara Sis Ganj Sahib,3.5, 2 kms  from city center ,site-seeing,152,delhi,https://www.holidify.com/images/cmsuploads/square/800px-Interior-view-Gurudwara-Sis-Ganj-Sahib_20180521143612.jpg
National Bal Bhavan,3.5, 13 kms  from city center ,site-seeing,153,delhi,https://www.holidify.com/images/cmsuploads/square/21_20180521182906.jpg
Indian War Memorial Museum,3.5, 3 kms  from city center ,site-seeing,154,delhi,https://www.holidify.com/images/cmsuploads/square/800px-Article_at_War_Memorial_Museum
Alai Minar,3.4, 16 kms  from city center ,site-seeing,155,delhi,https://www.holidify.com/images/cmsuploads/square/The_unfinished_Alai_minar_before_sunset_in_the_month_of_July_and_Qutub_minar_can_be_seen_in_the_back_20180521143821.jpg
Majnu ka Tilla,3.4, 4 kms  from city center ,site-seeing,156,delhi,https://www.holidify.com/images/cmsuploads/square/Majnu_ka_tilla_monastery_20190327162958_20190327163022.jpg
Museum of Archaeology,3.4, 3 kms  from city center ,site-seeing,157,delhi,https://www.holidify.com/images/cmsuploads/square/Gallery_-_Archaeological_Museum_-_Old_Fort_-_New_Delhi_2014-05-13_3081_20180521143918.JPG
India Habitat Centre,3.4, 9 kms  from city center ,site-seeing,158,delhi,https://www.holidify.com/images/cmsuploads/square/India_Habitat_Centre_16082015_01_20180521144030.jpg
Bengali Market,3.4, 5 kms  from city center ,site-seeing,159,delhi,https://www.holidify.com/images/cmsuploads/square/6916521771_903e738990_b_20190116140752.jpg
Champa Gali,3.4, 17 kms  from city center ,site-seeing,160,delhi,https://www.holidify.com/images/cmsuploads/square/champagali_20180721000721.jpg
Kiran Nadar Museum of Art,3.4, 15 kms  from city center ,site-seeing,161,delhi,https://www.holidify.com/images/cmsuploads/square/New-Configurations-invite_details_20190327164503_20190327164523.jpg
Adventure Island,3.4, 12 kms  from city center ,site-seeing,162,delhi,https://www.holidify.com/images/cmsuploads/square/1(1)_20171013204651_20181008100026.jpg
Fun N Food Village| Delhi,3.4, 21 kms  from city center ,site-seeing,163,delhi,https://www.holidify.com/images/cmsuploads/square/-61205_7569(1)_20171013204901_20181008100608.jpg
Buddha Jayanti Park,3.4, 7 kms  from city center ,site-seeing,164,delhi,https://www.holidify.com/images/cmsuploads/square/800px-Buddha_Jayanti_Park_-_panoramio_(1)_20181031203426_20181031203800.jpg
Japanese Park,3.3, 11 kms  from city center ,site-seeing,165,delhi,https://www.holidify.com/images/cmsuploads/square/park-1196206_960_720_20181031204122_20181031204444.jpg
National Rose Garden,3.3, 9 kms  from city center ,site-seeing,166,delhi,https://www.holidify.com/images/cmsuploads/square/4818466484_a8b0a63997_o_20181031204859_20181031205214.jpg
Deer Park| Delhi,3.3, 13 kms  from city center ,site-seeing,167,delhi,https://www.holidify.com/images/cmsuploads/square/800px-Hauz_Khas_Deer_Park23_20181031205408_20181031205835.jpg
Urdu Park,3.3, 3 kms  from city center ,site-seeing,168,delhi,https://www.holidify.com/images/cmsuploads/square/5543770299_526a9b33cf_o_20181031210317_20181031210731.jpg
Talkatora Garden,3.3, 5 kms  from city center ,site-seeing,169,delhi,https://www.holidify.com/images/cmsuploads/square/800px-Talkatora_garden_new_delhi_11_fountain_20181031210907_20181031211419.jpg
Central Park,3.3, 4 kms  from city center ,site-seeing,170,delhi,https://www.holidify.com/images/cmsuploads/square/371690510_bbf994bf18_o_20181031212110.jpg
Jahanpanah City Forest,3.3, 16 kms  from city center ,site-seeing,171,delhi,https://www.holidify.com/images/cmsuploads/square/800px-Jahanpanah_City_Forest_jogging_track_20181031221851_20181031222206.jpg
Indraprastha Park,3.2, 9 kms  from city center ,site-seeing,172,delhi,https://www.holidify.com/images/cmsuploads/square/Indraprastha_Park
Nehru Park| Delhi,3.2, 9 kms  from city center ,site-seeing,173,delhi,https://www.holidify.com/images/cmsuploads/square/8652429080_598de6a2f9_b_20190116151724.jpg
